,Age,Monthly_Hours_Log,Customer_Support_Calls,Device_Type,Discount_Offered,Satisfaction_Score,Premium_User
191,59,38.79757319808887,3,Desktop,0,2,0
192,61,22.700419844797157,2,Desktop,0,2,0
193,41,27.298631235224075,0,Tablet,0,2,0
194,32,24.635902037590064,1,Tablet,0,5,0
195,49,21.606109332815652,2,Mobile,0,4,1
196,49,20.44133657408993,2,Desktop,0,4,1
197,41,27.636069884584074,1,Mobile,0,3,0
198,58,12.862610426626567,0,Mobile,0,3,0
199,29,31.004633340174124,2,Tablet,0,2,1
200,56,21.670444760917967,3,Tablet,0,5,1
201,19,15.959445287677138,5,Tablet,1,1,0
202,20,21.39989713603349,1,Mobile,0,4,0
203,54,35.05719373490058,1,Mobile,1,5,1
204,34,20.717319303870216,1,Mobile,0,3,0
205,19,27.867628945676962,1,Tablet,0,4,1
206,19,19.152349794276212,4,Tablet,0,4,1
207,45,31.063374799388956,1,Tablet,1,5,1
208,40,30.484061910321632,3,Mobile,0,3,1
209,54,39.788870666371295,0,Mobile,0,5,1
210,49,23.595488436006278,1,Desktop,0,1,0
211,50,30.349238438063253,1,Tablet,0,4,1
212,18,25.784540316311556,1,Mobile,0,5,1
213,36,35.366974254904115,1,Desktop,0,5,0
214,19,19.249340899130157,3,Mobile,0,1,1
215,61,30.96004250301825,0,Mobile,0,5,1
216,43,23.442421631066548,3,Tablet,0,4,1
217,49,24.486494583132018,2,Desktop,0,2,1
218,23,25.734019875586984,1,Mobile,0,2,0
219,49,27.01792317141342,3,Desktop,0,3,0
220,21,24.070167655024335,1,Desktop,0,1,0
221,28,26.71770546536421,2,Tablet,0,3,0
222,34,37.624944460497474,1,Desktop,0,2,0
223,55,32.88359748492175,0,Tablet,0,1,1
224,41,31.95323673997517,1,Tablet,0,5,1
225,22,21.355683791809035,1,Tablet,0,5,0
226,51,17.886073374173407,0,Desktop,0,4,1
227,23,32.642404465902025,1,Mobile,0,2,0
228,39,32.008374340238355,1,Tablet,0,5,1
229,28,36.78136540600786,3,Mobile,0,1,1
230,33,20.168154992246166,1,Desktop,1,5,0
231,50,23.163610757117223,1,Mobile,0,3,0
232,26,11.884126699796527,1,Mobile,0,3,0
233,23,21.860231151513016,1,Tablet,0,3,1
234,33,32.97256408463558,1,Tablet,0,3,0
235,46,21.268036966174417,3,Tablet,1,3,1
236,20,30.12383836160659,3,Desktop,1,4,1
237,37,23.475975152017508,1,Mobile,1,3,1
238,53,27.592456225772484,2,Desktop,1,4,1
239,36,15.818468881474661,2,Desktop,0,4,0
240,43,25.68167559707121,5,Desktop,0,5,0
241,20,1.070912232794214,2,Desktop,1,1,0
242,36,23.50483073470412,2,Tablet,0,3,0
243,37,11.956214050278879,2,Mobile,1,1,1
244,49,34.64795613237453,2,Tablet,0,2,0
245,24,31.21925882211609,4,Tablet,0,4,0
246,58,28.73336785572865,1,Desktop,1,2,1
247,50,37.16804981727504,1,Tablet,0,4,1
248,57,17.408667833401303,0,Mobile,1,3,1
249,56,38.97890558332446,6,Desktop,0,2,0
250,35,32.45753251408308,0,Tablet,0,5,1
251,57,23.10755770224843,3,Desktop,1,2,1
252,18,34.084961177463555,1,Mobile,0,4,1
253,28,16.149651900706928,1,Desktop,0,4,0
254,45,18.40388670777861,0,Tablet,0,1,1
255,42,20.131282214082397,1,Tablet,1,2,0
256,40,20.768178335487878,1,Mobile,1,5,0
257,48,16.547538857917978,1,Mobile,0,3,0
258,47,34.7846645367626,2,Desktop,0,1,0
259,59,22.929164797041345,3,Tablet,1,2,1
260,52,27.820039746855038,0,Mobile,1,1,1
261,24,20.437189068690557,2,Mobile,0,2,0
262,33,10.435173595611863,2,Tablet,0,3,0
263,43,27.160458867131375,2,Mobile,1,3,1
264,19,9.701960196641785,1,Mobile,0,5,0
265,18,24.45092763131625,1,Tablet,1,1,0
266,29,14.053479689337516,0,Mobile,0,5,0
267,22,40.89820799384646,3,Tablet,0,2,1
268,54,32.29090177739777,1,Tablet,0,3,1
269,49,25.846030330171843,1,Desktop,1,3,1
270,26,35.10965342123735,4,Tablet,0,4,1
271,58,18.229472180274115,2,Mobile,0,4,0
272,52,29.347835029360745,6,Desktop,0,5,1
273,36,26.59848346974971,1,Desktop,1,1,0
274,33,27.11216065066936,1,Mobile,0,2,1
275,20,35.17882800085414,2,Desktop,0,5,1
276,37,30.859936822238417,2,Mobile,0,3,0
277,41,27.309789302600187,1,Desktop,0,3,0
278,50,11.76090051017363,2,Mobile,0,3,0
279,41,17.31962963776429,3,Tablet,0,2,0
280,28,24.018328531234207,2,Tablet,0,5,0
281,25,25.746978994213208,0,Desktop,1,2,0
282,53,15.95837020260861,1,Desktop,1,3,1
283,55,44.29341340462737,1,Tablet,1,4,1
284,57,37.13115244202858,1,Mobile,0,5,1
285,37,29.81694656313987,0,Desktop,1,4,1
286,52,25.576294890269956,1,Tablet,0,5,1
287,42,23.302328240790786,2,Desktop,0,3,0
288,52,17.384652319822116,1,Tablet,0,4,1
289,42,25.6198441481509,1,Tablet,0,4,0
290,46,27.062020321142004,1,Tablet,0,5,1
291,35,15.065915396147005,2,Mobile,0,4,0
292,63,27.67341133795918,0,Desktop,0,4,1
293,35,23.75792760940201,0,Mobile,0,3,1
294,19,9.737539536980872,0,Mobile,0,5,0
295,52,18.116919913763986,2,Tablet,0,5,0
296,33,21.691155732626846,1,Mobile,0,1,0
297,58,40.10150125872153,2,Desktop,0,5,1
298,53,29.452424996270064,0,Desktop,0,3,0
299,50,14.31614744720087,1,Tablet,0,4,0
300,21,28.888290315341095,2,Tablet,0,1,1
301,50,12.621568088493076,3,Desktop,1,4,0
302,31,33.661528431096585,3,Desktop,0,5,1
303,38,21.231002785456973,2,Tablet,0,2,1
304,37,24.250910490086632,0,Mobile,1,4,1
305,25,35.60637318033752,1,Desktop,0,5,1
306,24,14.702691451326,3,Tablet,0,3,0
307,20,13.82305451909607,2,Tablet,0,5,1
308,34,20.33120538923196,0,Desktop,0,1,0
309,50,33.307030808154536,2,Tablet,0,2,0
310,29,12.84523139618526,4,Desktop,1,2,1
311,39,2.3427552151154494,3,Tablet,0,2,0
312,39,21.39072913272801,1,Tablet,0,3,0
313,63,29.413926399287362,3,Mobile,0,2,0
314,47,34.602093997910636,0,Tablet,1,4,1
315,55,21.29470910331681,3,Desktop,1,3,0
316,55,21.70858714307198,1,Desktop,0,5,1
317,62,34.231205874045976,1,Mobile,0,1,1
318,25,10.042066402436635,4,Desktop,0,3,0
319,44,21.891833798535927,2,Tablet,0,1,1
320,44,26.52339111940046,5,Mobile,0,3,1
321,51,28.593749770280276,3,Desktop,0,5,0
322,38,20.92154645447294,2,Tablet,1,1,1
323,47,25.27552809364673,0,Mobile,0,3,0
324,50,5.093381172696084,2,Tablet,0,1,0
325,45,19.734012701329213,2,Desktop,0,2,0
326,64,28.628069700435738,1,Desktop,0,2,1
327,50,17.141647725962564,3,Desktop,0,2,0
328,22,25.47187377271678,1,Desktop,1,4,0
329,36,28.574980006421583,0,Mobile,0,2,1
330,21,22.25960639313788,3,Desktop,1,2,1
331,52,26.363710167972567,4,Mobile,0,5,0
332,34,17.2981394777231,1,Mobile,0,1,0
333,61,23.34710976243163,1,Tablet,0,1,0
334,45,29.88172935671378,3,Desktop,0,2,1
335,47,26.255783687747474,0,Tablet,0,1,1
336,46,20.307749843488516,1,Tablet,0,3,1
337,63,26.793731234326344,5,Tablet,0,2,1
338,23,30.716878325092942,0,Tablet,1,2,1
339,52,8.600469771380176,2,Tablet,0,4,0
340,58,34.27259251964718,0,Desktop,0,3,0
341,54,22.309962090551423,1,Tablet,0,2,1
342,41,28.40391946592184,4,Mobile,0,2,1
343,46,34.57797538916182,4,Mobile,0,1,1
344,63,14.026610422156272,0,Desktop,0,2,0
345,48,19.324471980579627,7,Mobile,0,2,1
346,52,22.691610432994363,2,Tablet,0,2,1
347,50,18.729971831004573,2,Mobile,1,2,0
348,38,38.87949260669447,1,Tablet,1,4,0
349,49,18.145823249385657,3,Desktop,0,3,0
350,40,20.555625764105066,0,Mobile,0,4,0
351,50,26.635112252823813,1,Mobile,1,1,0
352,20,15.38280379139129,0,Mobile,0,5,1
353,35,21.83455430594989,1,Desktop,0,2,0
354,42,27.539626090001402,0,Desktop,1,1,0
355,59,22.33711676493991,0,Mobile,0,5,1
356,48,24.252905128800414,0,Desktop,1,2,0
357,20,20.765343100413034,3,Tablet,0,2,0
358,57,12.884237526553864,1,Desktop,0,5,1
359,63,27.57274569071391,2,Mobile,0,4,1
360,41,39.03946457317793,1,Tablet,1,5,1
361,49,25.147213046267506,1,Mobile,0,5,0
362,64,26.802112937980397,1,Mobile,0,3,0
363,39,30.541782040934876,1,Mobile,1,2,1
364,40,14.845356027626407,1,Desktop,1,2,0
365,19,38.620117265036846,5,Mobile,1,4,1
366,44,26.618630371382416,0,Tablet,0,4,0
367,59,38.05485519271287,1,Tablet,1,3,1
368,19,19.135736035808087,1,Tablet,0,3,1
369,43,39.5444953804626,2,Mobile,0,3,1
370,34,31.201243952278265,1,Tablet,1,4,0
371,57,29.424320686818866,1,Tablet,0,5,0
372,50,26.872195634825182,3,Tablet,0,2,0
373,26,23.011771055404406,1,Tablet,0,2,0
374,60,34.60425326779098,0,Desktop,1,1,1
375,56,26.122878958784376,1,Mobile,0,4,0
376,46,9.263442371302782,1,Mobile,0,4,1
377,59,16.06250830634398,3,Tablet,0,3,1
378,43,23.513233982458022,1,Mobile,0,1,0
379,52,27.47999186532444,2,Tablet,1,1,0
380,42,24.547292088800834,2,Tablet,0,4,0
381,41,34.751766318349304,0,Tablet,0,3,1
382,30,9.391185087691001,2,Mobile,1,2,0
383,24,26.14870349204128,0,Desktop,0,3,0
384,53,10.456166196902762,0,Mobile,0,2,1
385,62,31.077698363873345,1,Mobile,0,4,1
386,37,24.244330284463977,2,Desktop,1,3,1
387,18,28.356879776192944,3,Mobile,0,1,0
388,25,18.08893631528187,2,Desktop,0,5,1
389,63,35.23571945326201,1,Tablet,0,1,1
390,33,33.33379731247081,1,Desktop,0,2,0
391,31,29.6683544240951,2,Tablet,1,4,0
392,29,23.963862025092475,0,Desktop,1,3,0
393,40,29.638858282361056,2,Tablet,0,4,1
394,32,19.344859456101208,3,Mobile,0,4,1
395,45,31.844445272165697,2,Desktop,1,2,1
396,51,38.19584715459137,2,Mobile,0,4,1
397,19,33.56488447983349,0,Tablet,0,3,1
398,49,19.163180241540722,0,Desktop,1,1,1
399,40,27.891338538184822,2,Desktop,0,4,0
400,39,14.654867649930818,0,Desktop,0,3,0
401,42,29.579122489405407,5,Mobile,0,3,1
402,39,28.60482730290031,0,Tablet,1,2,0
403,39,10.041469283742687,0,Mobile,0,4,0
404,59,15.70572924870109,2,Desktop,1,2,1
405,23,22.73488882604986,2,Tablet,1,1,0
406,32,22.59312202287339,0,Tablet,1,1,1
407,60,15.324184516649558,1,Mobile,1,3,1
408,54,28.11182983481747,2,Mobile,0,4,1
409,50,27.011788871524097,2,Desktop,1,3,1
410,25,23.445846944171844,2,Desktop,0,4,1
411,61,18.953667998733096,1,Desktop,1,2,0
412,61,33.38965701133251,4,Desktop,0,1,1
413,22,38.243256904706364,4,Tablet,0,1,0
414,56,21.131508129227704,0,Desktop,0,2,1
415,21,20.102664662761434,1,Desktop,1,5,0
416,23,28.92966132329597,0,Desktop,0,5,0
417,62,22.135764962024112,1,Mobile,0,5,1
418,49,23.884822394694126,2,Mobile,1,4,1
419,47,30.917225213797373,3,Mobile,0,2,1
420,64,9.725151299941658,0,Desktop,0,4,0
421,52,35.546418598821354,1,Tablet,0,4,1
422,57,25.58144419463473,4,Desktop,0,2,0
423,33,21.70805484350256,2,Mobile,0,4,0
424,30,24.28612676622841,2,Mobile,1,2,1
425,59,24.699434840164148,4,Desktop,0,5,1
426,47,11.150389572440597,1,Tablet,0,5,1
427,36,36.95950581962589,2,Tablet,0,4,1
428,34,25.33060505816495,2,Tablet,1,1,1
429,36,28.544017043579,3,Mobile,0,2,0
430,45,32.61239816459234,0,Mobile,0,3,0
431,43,16.8307003395176,1,Tablet,0,3,0
432,54,28.787775192281828,1,Desktop,1,4,1
433,43,22.85887127280965,2,Tablet,1,1,0
434,40,31.77416620173195,0,Desktop,0,2,0
435,26,7.982180637188037,2,Mobile,0,5,1
436,29,24.207245598069846,2,Mobile,0,4,1
437,18,20.177434753728306,1,Mobile,0,2,1
438,18,28.458103605073244,2,Tablet,0,2,1
439,64,28.760353498945616,2,Tablet,0,2,0
440,51,19.338992841423792,1,Mobile,0,1,0
441,49,19.30260908659165,2,Mobile,1,2,0
442,42,24.114677051541364,1,Mobile,0,1,1
443,57,17.826862181478333,2,Tablet,0,1,0
444,62,31.735869563617015,0,Tablet,0,2,0
445,18,22.04634239642043,0,Mobile,0,5,1
446,33,1.7440942454268686,0,Tablet,0,2,0
447,56,22.001423547025553,0,Tablet,0,5,1
448,22,16.691649433248223,1,Tablet,1,4,1
449,39,11.949793476312436,3,Tablet,1,3,0
450,46,15.10058689421942,1,Mobile,1,4,1
451,20,25.87526777466376,2,Mobile,0,1,1
452,29,35.62912662598585,0,Tablet,1,4,1
453,43,27.50547579091984,1,Mobile,0,3,1
454,33,20.147972894274083,2,Mobile,0,3,1
455,54,28.64723356136562,0,Mobile,0,5,1
456,39,21.327277518248067,2,Desktop,0,4,1
457,46,19.44319704669484,2,Mobile,1,1,1
458,31,15.765098654136125,0,Mobile,0,1,0
459,45,10.985369545986247,1,Tablet,0,5,0
460,22,21.88061034752444,2,Tablet,0,5,1
461,64,26.264427919361054,3,Desktop,1,4,1
462,47,24.22701063988088,2,Desktop,1,5,0
463,63,21.67226457642113,1,Mobile,0,3,0
464,22,17.43403151442575,0,Mobile,0,1,0
465,29,29.86596953347975,0,Tablet,1,3,0
466,33,14.46294464042732,2,Mobile,0,2,0
467,43,31.208223310747805,1,Mobile,0,3,1
468,43,16.9822638485862,1,Mobile,0,1,0
469,38,18.98051810117572,1,Mobile,0,2,0
470,56,13.265718475074584,1,Mobile,0,4,1
471,53,20.988782824914907,1,Mobile,0,2,1
472,50,32.80249966782383,0,Mobile,0,5,1
473,47,29.125024707551653,3,Mobile,1,1,1
474,54,32.82737689622428,2,Tablet,0,5,1
475,40,29.177140367471488,2,Desktop,0,3,0
476,27,16.170641371757046,1,Mobile,0,4,1
477,22,22.353686205379542,0,Tablet,0,1,0
478,53,18.7584069670603,2,Mobile,0,4,0
479,51,35.64459923231232,2,Mobile,1,1,1
480,48,15.425690828589508,2,Desktop,0,5,1
481,27,32.149581515112885,3,Tablet,0,3,0
482,36,32.143630960870155,3,Mobile,0,2,0
483,49,39.6369616137287,1,Desktop,0,4,1
484,18,21.722507258964022,0,Desktop,1,1,0
485,22,30.698577276641295,0,Mobile,0,1,0
486,62,43.25321469231074,4,Mobile,1,4,1
487,21,20.058866584530428,2,Tablet,1,2,1
488,33,12.719678019741123,2,Tablet,0,3,0
489,41,9.95991972873789,2,Mobile,0,1,0
490,33,30.70169623089065,1,Mobile,0,1,0
491,19,9.93479833553133,0,Desktop,1,4,0
492,45,22.021447576496616,4,Tablet,0,4,0
493,49,28.498505496311687,3,Mobile,0,1,1
494,44,26.48140429463931,4,Mobile,0,1,0
495,37,28.40355891347338,2,Tablet,0,1,0
496,41,26.778318846406833,2,Mobile,1,5,1
497,29,35.230926506507146,1,Desktop,0,1,0
498,52,17.381468954089623,2,Desktop,0,3,1
499,50,19.584038892331748,1,Mobile,0,3,1
500,50,18.81872443783341,4,Tablet,0,2,1
501,60,31.64153449490088,2,Desktop,0,4,1
502,54,32.20318870716051,4,Tablet,0,2,1
503,29,28.609802554548065,1,Tablet,0,1,0
504,20,34.46794933511942,1,Tablet,0,4,1
505,18,15.575673060988954,0,Desktop,0,1,0
506,50,38.3377928924091,0,Desktop,0,4,0
507,57,37.18590897369806,0,Mobile,1,5,1
508,27,30.884975977965972,3,Tablet,1,5,1
509,60,39.25439127016848,2,Desktop,0,5,0
510,61,11.74701433857781,2,Desktop,0,2,0
511,46,20.804414909898785,2,Mobile,1,4,0
512,30,19.117572314544383,0,Desktop,0,2,1
513,29,30.771834590058745,0,Desktop,1,4,1
514,48,16.598874083182835,1,Desktop,1,1,0
515,63,31.059961194699884,1,Mobile,0,5,1
516,19,35.96428915197371,2,Mobile,0,5,0
517,52,30.561623200671995,1,Tablet,0,4,1
518,40,27.27000818929201,1,Desktop,0,2,1
519,34,17.09701327279401,0,Mobile,1,2,1
520,43,18.225192270997084,3,Mobile,1,3,0
521,25,34.996951242373335,2,Mobile,0,5,0
522,46,31.23479203124266,3,Tablet,0,5,0
523,43,24.687843844979646,2,Tablet,0,2,0
524,27,21.656723633872875,1,Tablet,0,5,0
525,43,8.793537015108985,1,Tablet,0,2,0
526,51,16.43318065052449,3,Tablet,1,3,1
527,58,40.29135269711779,3,Desktop,0,4,1
528,24,14.756355431980266,0,Desktop,0,4,0
529,21,26.515838569768647,2,Mobile,0,3,0
530,62,33.05955178556159,2,Tablet,0,5,1
531,28,14.96061865598166,0,Tablet,0,1,1
532,46,26.477683798248666,2,Mobile,0,5,1
533,53,32.50332430008524,3,Desktop,0,2,1
534,42,25.099994575258002,1,Tablet,1,1,1
535,38,47.94722444533414,2,Tablet,0,3,1
536,53,11.651205928974438,3,Tablet,0,4,0
537,27,33.469828239071035,2,Desktop,1,4,1
538,54,23.617586100828284,1,Desktop,1,5,0
539,26,31.1753612386934,1,Tablet,0,4,1
540,41,28.530457213593966,2,Tablet,0,5,1
541,52,19.13475042312003,3,Mobile,1,2,1
542,52,26.83197113967472,1,Mobile,0,2,1
543,53,10.136788388813702,2,Desktop,0,3,1
544,35,29.82598000457115,2,Mobile,0,2,0
545,56,27.385267727924205,2,Tablet,0,5,1
546,49,30.10928134914482,3,Desktop,0,4,1
547,41,33.4649466006972,2,Mobile,0,2,1
548,40,27.94095872167769,2,Desktop,1,2,0
549,49,26.18471535838621,1,Tablet,1,5,1
550,54,17.951453306709663,0,Mobile,1,2,0
551,29,19.302233890807592,0,Mobile,0,4,1
552,30,34.49387696141865,1,Mobile,0,4,1
553,40,36.49068324564783,5,Tablet,1,4,1
554,42,23.09511650950357,3,Desktop,0,4,0
