Age,Income,YratCom,DistFromHome,Overtime,JobSatist,Performance,Department,Educ,WorkLifeBalance,Attrition
39,101153,40,13,13,3,2,Finance,Bachelor,2,1
60,22843,8,5,5,5,1,IT,Masters,1,1
46,99401,7,20,20,2,5,Finance,Bachelor,3,1
27,113489,11,1,1,1,2,Marketing,Bachelor,2,1
56,116954,39,20,20,1,1,Finance,Masters,2,0
28,39352,4,3,3,3,5,Marketing,PhD,4,1
44,70429,25,18,18,4,4,HR,Masters,4,1
33,27658,12,9,9,2,2,Finance,PhD,4,1
38,105734,26,14,14,5,4,IT,Bachelor,2,1
55,64331,38,17,17,4,3,Finance,PhD,5,0
31,127198,12,23,23,3,5,Marketing,Masters,3,1
28,28983,37,14,14,4,5,Marketing,PhD,2,0
38,64273,24,4,4,3,2,IT,Bachelor,1,0
51,41713,16,5,5,1,5,Marketing,Bachelor,5,1
25,120660,13,21,21,1,3,Finance,PhD,5,0
42,115676,25,17,17,4,5,Marketing,Bachelor,3,1
58,92102,4,22,22,2,1,Finance,Bachelor,5,1
41,111773,11,2,2,5,4,Finance,PhD,3,0
48,129588,32,23,23,3,3,Marketing,Bachelor,5,1
25,29511,7,22,22,5,3,IT,PhD,3,1
41,69007,11,5,5,1,4,HR,PhD,4,1
42,59140,28,4,4,2,4,IT,Bachelor,4,1
54,94041,41,4,4,2,3,HR,PhD,5,1
29,113283,23,6,6,5,4,IT,Bachelor,5,0
63,99276,23,20,20,1,2,Finance,Bachelor,3,1
55,48331,28,21,21,5,4,Finance,Bachelor,3,1
62,40607,26,13,13,4,1,Marketing,Masters,2,1
61,101588,25,22,22,2,1,HR,Bachelor,4,1
40,75075,29,5,5,2,2,HR,PhD,2,1
62,24083,19,23,23,4,4,Marketing,PhD,2,1
23,106006,33,23,23,1,1,IT,PhD,1,1
33,43966,36,7,7,2,5,Marketing,Masters,3,0
50,93763,14,20,20,3,4,IT,Masters,1,1
47,95765,14,1,1,3,2,Marketing,PhD,1,1
45,29950,35,14,14,1,4,HR,PhD,2,1
53,53692,30,24,24,4,3,HR,Masters,1,0
52,49648,28,4,4,5,3,IT,PhD,3,1
64,45087,17,17,17,1,1,HR,Bachelor,2,1
57,52317,3,21,21,5,3,HR,Bachelor,3,0
29,88235,16,14,14,1,2,HR,PhD,5,0
38,93589,30,16,16,3,1,HR,Bachelor,1,1
48,28258,29,14,14,4,2,Finance,PhD,2,1
24,40714,15,16,16,3,2,Marketing,Masters,4,1
23,47286,25,24,24,4,3,Marketing,PhD,3,1
34,83430,38,20,20,5,3,Finance,Masters,1,0
27,42452,38,8,8,1,2,HR,Bachelor,3,0
59,85832,23,24,24,2,3,Marketing,Bachelor,3,1
54,36887,25,3,3,2,3,Marketing,Bachelor,5,1
31,93069,7,19,19,4,3,Marketing,PhD,3,1
63,122154,22,1,1,4,4,IT,Masters,5,0
57,81414,17,2,2,3,2,Finance,Masters,5,1
41,58489,18,15,15,2,5,IT,Bachelor,5,0
38,127369,41,22,22,3,2,IT,Bachelor,1,1
25,64175,10,10,10,5,1,Finance,Masters,3,1
42,49630,10,18,18,2,3,Marketing,PhD,3,1
46,25150,7,22,22,5,3,IT,Bachelor,5,0
55,37762,38,14,14,1,5,Marketing,PhD,3,1
46,24266,27,17,17,3,1,IT,Bachelor,3,0
33,23846,33,13,13,4,4,Marketing,Bachelor,5,1
30,98363,1,1,1,2,2,HR,PhD,4,1
58,30470,34,5,5,3,4,HR,PhD,4,1
60,108750,4,13,13,4,1,HR,PhD,5,0
62,27412,17,14,14,1,5,Finance,PhD,1,1
42,98032,4,24,24,2,1,HR,Masters,3,1
57,72012,26,3,3,5,5,IT,Masters,3,0
47,86300,4,15,15,1,4,Marketing,Bachelor,4,1
57,31483,1,19,19,4,4,Marketing,Bachelor,5,1
47,78796,7,17,17,2,1,Marketing,Bachelor,1,1
51,92307,30,3,3,2,1,Marketing,Masters,5,0
40,22254,9,16,16,1,3,IT,PhD,4,1
40,65863,35,14,14,2,5,Marketing,Bachelor,4,1
24,104216,8,12,12,4,3,IT,Masters,3,1
57,84357,24,12,12,1,2,IT,Bachelor,2,1
38,113582,19,11,11,5,2,Marketing,Masters,1,0
63,95941,36,17,17,1,1,Marketing,PhD,1,1
58,22052,27,8,8,1,4,Marketing,Masters,2,1
55,22272,32,17,17,5,2,IT,PhD,4,0
26,97164,14,21,21,4,2,Finance,Bachelor,5,1
55,107290,18,23,23,3,3,IT,PhD,1,1
36,121845,28,20,20,3,3,Finance,Masters,2,1
43,52568,29,11,11,5,2,Marketing,Bachelor,3,1
42,47793,16,2,2,4,1,IT,Bachelor,3,1
30,103446,35,10,10,2,3,Marketing,Masters,4,1
29,77692,31,10,10,5,2,Finance,PhD,1,0
25,59686,4,11,11,3,4,Finance,Masters,5,0
39,80392,37,6,6,4,3,IT,PhD,1,0
55,86267,17,4,4,1,2,IT,PhD,3,1
34,48676,39,24,24,4,5,IT,Bachelor,1,1
44,35197,26,12,12,4,3,IT,PhD,3,0
44,85836,39,11,11,3,5,HR,Bachelor,2,0
52,61334,41,23,23,3,3,HR,Masters,2,1
60,77482,4,23,23,2,3,Marketing,Masters,3,1
60,107004,30,13,13,2,5,Finance,Bachelor,5,1
30,42133,30,5,5,5,1,Finance,Bachelor,5,0
49,79083,22,6,6,1,2,Marketing,PhD,1,1
49,122369,11,1,1,2,1,Marketing,Bachelor,3,1
56,96879,2,6,6,3,1,Marketing,Masters,4,1
43,68754,12,18,18,4,2,HR,Bachelor,5,0
52,66609,30,22,22,5,4,Marketing,Bachelor,5,0
55,127123,36,9,9,2,1,Finance,Bachelor,2,1
50,106668,18,24,24,4,1,Marketing,PhD,5,0
55,99902,26,15,15,4,1,IT,Bachelor,5,0
27,80256,7,8,8,2,4,Finance,PhD,5,1
41,40865,1,19,19,1,3,Finance,PhD,3,1
26,23221,26,24,24,1,5,Finance,Bachelor,3,0
57,102302,23,16,16,5,5,HR,PhD,2,0
39,112682,26,6,6,1,4,HR,Bachelor,1,1
50,57342,6,6,6,5,1,Finance,Masters,5,0
52,130621,6,22,22,3,5,IT,Masters,1,1
51,113935,8,3,3,2,4,Finance,PhD,3,0
28,97688,24,10,10,4,2,HR,Masters,5,0
57,60889,22,1,1,5,5,IT,Bachelor,1,1
63,23054,19,14,14,1,2,Finance,PhD,1,1
59,46756,37,4,4,5,1,HR,Bachelor,4,1
46,48335,18,12,12,5,5,IT,PhD,3,1
51,23622,31,6,6,1,4,Marketing,PhD,2,1
53,25544,37,11,11,1,3,Marketing,PhD,2,1
57,41509,30,12,12,2,5,Finance,PhD,4,1
55,97935,33,10,10,4,5,Marketing,Masters,1,1
43,50222,10,18,18,2,5,HR,Masters,4,0
54,66703,37,7,7,2,5,IT,Masters,4,0
45,77604,12,7,7,1,4,Finance,PhD,3,0
55,48000,30,11,11,1,4,IT,Masters,5,1
25,38773,27,4,4,4,3,IT,PhD,1,1
40,29598,39,20,20,5,4,IT,Masters,2,1
47,113002,9,1,1,2,4,HR,PhD,2,1
64,23121,21,13,13,4,1,Finance,Masters,4,1
53,68013,12,18,18,2,1,Marketing,Masters,4,1
25,89410,29,9,9,5,2,IT,Masters,4,0
62,88007,33,24,24,2,3,IT,PhD,1,1
46,51603,15,24,24,3,1,IT,PhD,4,1
54,70565,2,9,9,4,3,HR,Masters,4,1
44,35807,39,23,23,1,3,Marketing,PhD,5,0
45,119722,18,9,9,2,5,IT,Bachelor,1,0
24,88332,3,10,10,4,3,HR,Masters,3,1
49,124979,7,2,2,4,5,HR,Masters,3,1
64,81925,18,6,6,2,2,IT,Bachelor,5,1
24,60549,38,15,15,1,2,IT,PhD,2,1
48,78029,37,3,3,1,2,HR,PhD,3,1
39,116985,33,11,11,2,5,HR,PhD,1,1
62,100319,31,6,6,4,5,IT,Masters,2,0
55,94616,11,3,3,1,2,HR,Masters,4,1
31,100432,4,24,24,2,5,HR,Masters,1,1
61,128147,18,11,11,2,4,IT,Masters,2,1
51,125565,4,15,15,2,4,IT,Masters,3,1
64,94719,34,13,13,4,5,Finance,PhD,4,1
48,80868,29,20,20,1,5,Marketing,Bachelor,4,0
57,49978,24,10,10,4,1,IT,PhD,1,1
47,100977,22,6,6,3,1,IT,PhD,4,1
46,24368,2,15,15,1,3,IT,Masters,2,1
35,42792,6,18,18,4,3,Marketing,Bachelor,5,0
29,73012,25,18,18,1,3,Finance,Bachelor,3,1
58,84068,21,7,7,3,2,HR,PhD,1,1
42,34905,16,15,15,5,4,Marketing,Bachelor,5,1
23,90258,31,18,18,2,2,IT,PhD,5,1
30,126860,14,18,18,4,5,IT,PhD,1,0
38,58507,39,20,20,3,1,Finance,PhD,2,1
36,58218,28,9,9,3,5,Finance,PhD,3,0
34,52300,32,24,24,1,5,Finance,Masters,1,1
45,77134,28,2,2,1,1,HR,Bachelor,5,0
37,91252,9,8,8,2,5,Marketing,Masters,5,0
50,116203,22,20,20,1,3,Marketing,Masters,1,1
56,42997,32,2,2,4,1,Finance,Masters,5,1
24,40268,5,11,11,4,5,HR,PhD,1,1
54,44104,23,7,7,4,3,Marketing,PhD,1,1
45,28056,5,6,6,5,3,IT,Masters,3,1
44,50312,32,10,10,4,4,IT,Masters,1,1
47,73885,10,5,5,1,3,IT,Bachelor,5,1
44,63776,39,11,11,1,2,Marketing,Masters,4,0
44,120582,15,1,1,4,1,Finance,PhD,3,0
64,75324,7,2,2,3,1,IT,Masters,5,0
28,41417,29,24,24,3,1,Finance,Bachelor,5,1
37,70370,3,1,1,3,5,HR,Bachelor,3,0
59,122081,19,19,19,2,5,IT,Masters,3,1
55,103949,10,2,2,5,2,HR,Bachelor,5,1
30,127302,28,21,21,4,3,Finance,Bachelor,4,1
27,29930,29,20,20,2,5,Marketing,PhD,2,1
61,24298,15,23,23,3,3,Finance,Bachelor,5,0
26,84234,35,21,21,4,3,IT,Bachelor,3,1
28,36986,6,24,24,2,5,IT,Masters,1,1
54,124153,12,4,4,1,5,Finance,PhD,1,1
52,101932,38,12,12,3,2,IT,Bachelor,3,0
57,62424,13,22,22,2,4,IT,Masters,3,1
62,70847,29,20,20,1,1,HR,Masters,2,1
38,43740,19,18,18,3,5,Marketing,Masters,3,1
35,89940,3,1,1,5,5,Finance,Masters,1,1
64,47432,8,1,1,3,3,HR,Masters,4,1
52,45959,8,24,24,5,4,IT,Masters,3,1
41,72790,20,14,14,5,5,HR,Bachelor,2,0
39,114360,4,4,4,5,4,Marketing,PhD,4,0
41,112016,21,5,5,4,1,Finance,PhD,2,0
50,73833,3,11,11,4,3,Marketing,Masters,4,1
48,121355,8,24,24,5,2,Marketing,Masters,3,0
59,49017,23,23,23,1,1,HR,PhD,1,1
48,58102,16,13,13,5,4,HR,Bachelor,4,1
45,27759,13,16,16,2,4,Marketing,Masters,5,0
31,108612,3,24,24,5,1,IT,PhD,2,0
34,58588,9,13,13,4,4,Finance,PhD,4,0
23,41251,14,24,24,4,2,IT,Masters,2,1
23,44227,13,22,22,2,2,IT,PhD,1,0
56,48857,7,2,2,2,4,Finance,Bachelor,2,1
54,99863,15,16,16,3,4,HR,PhD,2,1
47,22190,7,6,6,1,2,IT,Masters,5,0
62,73065,38,14,14,1,4,HR,Masters,2,1
23,39525,34,1,1,1,5,Finance,PhD,4,1
38,126555,41,17,17,4,3,IT,PhD,2,1
61,33858,22,11,11,1,5,HR,Masters,3,1
27,74801,24,19,19,3,4,HR,Bachelor,2,1
44,103356,37,3,3,3,4,IT,PhD,3,0
51,71761,1,11,11,1,3,Finance,Bachelor,2,1
25,80567,10,5,5,2,4,Marketing,Bachelor,2,0
34,107986,16,17,17,3,3,HR,Masters,4,0
48,78536,8,22,22,2,2,Finance,Masters,3,1
38,49724,25,7,7,4,3,IT,Masters,3,0
59,99756,12,10,10,3,3,HR,Bachelor,5,0
44,32417,25,11,11,2,5,HR,Masters,2,1
51,106675,17,3,3,1,4,HR,Masters,2,0
36,58890,26,20,20,4,2,Finance,Bachelor,4,1
50,33504,14,10,10,5,1,HR,Bachelor,5,1
27,32800,41,10,10,5,3,HR,Bachelor,5,1
52,34780,36,14,14,1,1,IT,Bachelor,4,1
27,88538,23,12,12,4,4,HR,PhD,3,1
34,90813,6,15,15,4,3,Finance,Masters,1,0
38,54706,5,10,10,4,1,IT,PhD,4,1
48,31678,25,10,10,4,5,Marketing,Bachelor,3,1
48,108070,18,19,19,5,1,IT,Bachelor,5,1
43,64641,13,1,1,2,5,HR,Bachelor,4,0
61,100385,14,24,24,4,2,Marketing,Bachelor,1,1
58,29982,28,10,10,2,4,IT,Bachelor,2,1
55,29209,18,2,2,4,1,HR,Masters,4,1
52,63074,28,17,17,3,3,IT,PhD,1,1
59,33304,27,24,24,3,4,Finance,PhD,1,1
45,128666,32,7,7,3,1,HR,Masters,4,0
32,42045,9,7,7,4,3,Finance,Masters,3,0
27,116668,40,20,20,2,3,HR,Masters,4,0
58,97883,32,9,9,5,3,Finance,PhD,5,0
56,36952,20,22,22,1,3,Marketing,PhD,1,1
53,74241,28,2,2,5,1,Finance,Bachelor,1,1
32,115632,33,14,14,4,2,IT,PhD,2,1
41,98978,4,17,17,3,5,HR,PhD,1,0
54,43195,34,1,1,3,5,IT,Masters,2,1
23,76103,3,9,9,2,5,Finance,PhD,1,1
27,70425,26,20,20,4,2,HR,Bachelor,1,1
26,30519,8,21,21,5,3,Finance,PhD,4,1
38,122232,6,19,19,4,3,Marketing,Masters,4,0
46,23295,16,4,4,4,4,Marketing,Masters,5,1
38,88548,24,8,8,3,5,Marketing,Bachelor,3,0
24,41724,39,13,13,5,5,Finance,Bachelor,5,0
50,46236,30,4,4,1,3,Finance,PhD,1,1
54,63783,13,9,9,3,5,Marketing,Bachelor,5,1
49,54869,5,9,9,5,3,Finance,Bachelor,4,1
42,83302,25,22,22,2,3,IT,Masters,1,1
46,32121,20,18,18,3,3,Finance,Masters,1,1
34,109243,18,12,12,2,1,IT,PhD,5,1
57,89542,18,10,10,3,1,Marketing,PhD,2,0
55,50134,2,11,11,4,1,Finance,PhD,3,1
55,105964,10,7,7,5,1,Marketing,PhD,5,1
59,125460,12,9,9,2,2,HR,Masters,5,1
34,95999,13,6,6,3,4,Finance,PhD,3,0
25,43945,11,19,19,2,4,Finance,PhD,1,1
23,92635,19,16,16,3,3,Marketing,Bachelor,1,1
55,102721,35,15,15,3,5,Marketing,PhD,2,1
62,93226,39,7,7,1,1,Marketing,Bachelor,5,1
32,81680,26,16,16,1,4,HR,Masters,3,1
51,34363,14,5,5,1,4,HR,PhD,5,0
35,111747,24,16,16,2,1,Marketing,Bachelor,4,0
34,78613,41,1,1,4,2,Finance,PhD,5,0
53,128041,1,19,19,3,2,Finance,Bachelor,5,1
24,103167,22,5,5,5,4,Marketing,PhD,4,0
57,127573,23,7,7,1,2,IT,Masters,4,1
45,126683,19,19,19,2,1,HR,Masters,3,1
39,68006,18,22,22,2,4,HR,Bachelor,1,1
48,85585,12,5,5,2,1,IT,Bachelor,2,1
30,32264,28,17,17,5,2,Marketing,Masters,4,0
51,118072,28,22,22,5,1,Finance,PhD,1,1
48,122773,33,8,8,1,2,Finance,Bachelor,3,0
32,90401,19,1,1,5,2,HR,Masters,5,0
48,39536,28,2,2,1,1,IT,Bachelor,3,0
56,92177,37,15,15,5,2,Finance,Masters,3,1
63,75031,26,20,20,5,3,HR,Masters,4,0
29,125904,35,18,18,5,1,Finance,Bachelor,2,0
26,80308,34,11,11,1,3,Finance,Bachelor,4,1
33,123919,35,10,10,3,1,Finance,Masters,5,1
51,122998,40,24,24,1,2,HR,PhD,4,1
58,45696,16,24,24,3,2,IT,Masters,5,1
47,50368,38,4,4,2,4,Marketing,PhD,4,1
43,89818,13,5,5,2,4,IT,PhD,2,1
58,37506,23,4,4,1,3,Finance,PhD,1,1
32,44087,22,13,13,3,2,IT,Bachelor,2,1
59,55118,16,13,13,3,4,Finance,Masters,4,1
31,57510,28,18,18,3,2,HR,Masters,3,1
46,56238,35,24,24,2,1,HR,PhD,1,1
57,83116,8,2,2,1,4,HR,PhD,3,0
57,111314,22,16,16,4,3,Finance,PhD,2,0
58,52664,21,1,1,3,4,IT,Masters,1,1
40,98026,26,19,19,3,2,Marketing,PhD,4,0
61,38480,40,9,9,4,5,Marketing,Masters,3,1
54,29104,21,3,3,1,5,HR,Masters,4,0
46,110521,25,7,7,3,2,Marketing,Bachelor,5,1
45,60247,41,10,10,1,1,Finance,PhD,1,1
54,102819,1,1,1,3,4,IT,PhD,3,0
59,111485,6,10,10,5,5,Marketing,PhD,2,1
34,23503,23,21,21,3,1,Marketing,Bachelor,2,1
35,47149,23,9,9,5,2,IT,PhD,2,1
45,22073,23,15,15,1,1,Marketing,Masters,2,0
47,34059,32,15,15,3,2,IT,PhD,3,1
57,102823,30,3,3,2,4,Finance,Masters,5,0
63,53835,13,5,5,2,1,Finance,Masters,2,0
52,126773,18,9,9,4,4,Finance,Masters,2,1
