Emp_ID,Age,Yrs_Exp,Performance_Score,Train_Hrs,Proj_Complete,Salary,Promoted
1232,29,4,74,11,12,35935,0
1233,38,17,72,21,2,114577,0
1234,48,13,77,12,10,37467,1
1235,24,1,96,27,7,36073,1
1236,23,11,65,13,9,32691,0
1237,34,5,92,21,13,71538,1
1238,27,3,87,29,5,49490,0
1239,59,12,60,43,8,40688,1
1240,54,3,52,19,5,75650,0
1241,31,13,64,43,14,38829,1
1242,63,15,50,26,7,28086,0
1243,57,3,56,37,7,27590,0
1244,41,0,50,58,9,64893,0
1245,38,12,98,41,3,98396,1
1246,25,3,81,51,14,63176,1
1247,42,19,58,60,1,92484,1
1248,46,17,78,55,2,51295,1
1249,55,5,75,40,12,63131,1
1250,46,2,72,33,6,69893,0
1251,33,12,94,38,14,36924,1
1252,30,15,92,40,10,35851,1
1253,58,4,78,56,10,32734,1
1254,60,3,87,43,12,67681,1
1255,62,20,82,36,13,30293,1
1256,42,7,56,0,14,78203,0
1257,57,18,61,53,9,38820,1
1258,47,13,80,14,3,92827,1
1259,57,6,81,31,10,72163,1
1260,47,13,69,7,2,37391,0
1261,51,5,100,32,11,66970,1
1262,40,11,66,17,1,71823,0
1263,40,15,85,44,2,55796,1
1264,24,16,52,28,3,108127,1
1265,57,12,50,31,7,61389,0
1266,38,13,99,32,2,28352,1
1267,63,6,76,4,13,108598,0
1268,58,13,96,17,5,53172,1
1269,55,14,89,47,2,35937,1
1270,26,11,82,57,7,118657,1
1271,55,16,69,9,10,105138,1
1272,36,8,63,35,8,113672,0
1273,43,14,85,32,8,91481,1
1274,42,11,54,22,13,110348,1
1275,30,1,72,39,15,98509,1
1276,29,4,94,4,8,48552,1
1277,25,12,64,33,10,39118,1
1278,39,19,55,23,15,36290,1
1279,55,7,82,16,9,50123,1
1280,34,13,68,30,1,106919,0
1281,44,14,62,6,12,84551,0
1282,44,10,78,16,1,77136,0
1283,52,0,55,27,14,88886,0
1284,60,20,64,37,15,100902,1
1285,60,2,65,60,14,92333,1
1286,30,16,73,21,14,116992,1
1287,49,18,72,14,10,69016,1
1288,49,13,97,36,2,46427,1
1289,56,7,59,14,11,27257,0
1290,43,12,90,49,15,92733,1
1291,52,19,90,49,6,33222,1
1292,55,2,98,24,14,50187,1
1293,50,4,66,52,1,104688,0
1294,55,8,98,20,5,45781,1
1295,27,5,93,54,15,36004,1
1296,41,1,94,37,5,82600,0
1297,26,12,79,1,15,50515,1
1298,57,4,93,26,15,105952,1
1299,39,7,95,48,4,96688,1
1300,50,0,59,31,11,97708,0
1301,52,19,68,20,5,28185,1
1302,51,11,78,3,12,115888,1
1303,28,10,51,43,1,79476,0
1304,57,6,85,18,11,56212,1
1305,63,14,68,1,11,117154,0
1306,59,10,56,25,6,99697,0
1307,46,15,75,33,7,73533,1
1308,51,2,64,13,8,108003,0
1309,53,19,96,14,15,112125,1
1310,57,13,87,19,2,62630,1
1311,55,2,52,33,15,93606,0
1312,43,0,87,35,15,99099,1
1313,54,20,65,18,7,115790,1
1314,45,14,51,8,6,41585,0
1315,55,0,80,6,9,74240,0
1316,25,16,77,29,15,39772,1
1317,40,1,56,12,8,104991,0
1318,47,19,79,26,14,96835,1
1319,53,5,92,43,11,100724,1
1320,25,7,56,34,14,115299,0
1321,62,15,85,12,15,112091,1
1322,46,18,78,14,4,119859,1
1323,54,0,73,45,14,42938,1
1324,44,2,88,55,13,46983,1
1325,45,2,53,8,9,37874,0
1326,24,4,78,44,1,115341,0
1327,49,11,93,22,11,85896,1
1328,24,11,54,53,6,71209,1
1329,48,19,78,35,8,57822,1
1330,39,12,79,52,11,45750,1
1331,62,19,78,39,11,67083,1
1332,55,8,75,2,4,52946,0
1333,31,6,68,33,2,26552,0
1334,61,3,75,18,11,98331,0
1335,51,18,86,27,2,30271,1
1336,48,18,76,22,10,105201,1
1337,57,5,79,39,1,90651,1
1338,47,12,100,48,5,53994,1
1339,46,10,79,44,13,52186,1
1340,35,12,52,6,6,55267,0
1341,29,12,92,40,4,64140,1
1342,58,19,56,11,4,49935,1
1343,42,14,98,60,5,56748,1
1344,23,20,58,13,14,115139,1
1345,30,12,90,45,15,28837,1
1346,38,10,91,14,5,89875,0
1347,36,18,62,2,14,87694,1
1348,34,7,64,14,14,34610,1
1349,45,19,54,50,14,53615,1
1350,37,7,78,23,14,101644,1
1351,50,9,84,51,9,47347,1
1352,56,15,76,45,8,59062,1
1353,24,18,76,7,9,80122,1
1354,54,10,57,4,13,73431,1
1355,45,12,81,50,14,98086,1
1356,44,8,69,3,3,53205,0
1357,47,19,59,13,14,43459,1
1358,44,18,62,15,3,48750,0
1359,44,15,78,19,1,52729,0
1360,28,6,84,23,14,63585,1
1361,37,18,57,5,10,108698,1
1362,59,11,78,54,13,70635,1
1363,55,14,80,56,6,69854,1
1364,30,13,90,30,4,101226,1
1365,27,10,79,5,11,54104,1
1366,61,9,71,34,15,107293,1
1367,26,10,70,14,15,39770,1
1368,28,5,61,28,14,100993,0
1369,54,1,60,2,8,42957,0
1370,52,10,51,10,2,80178,0
1371,57,18,99,2,11,45828,1
1372,62,5,90,27,2,42171,0
1373,38,13,51,9,7,86465,1
1374,35,19,83,49,13,38146,1
1375,52,5,52,32,15,71266,1
1376,41,16,65,47,5,70939,1
1377,39,9,100,15,13,39202,1
1378,41,0,53,58,1,62142,0
1379,50,2,72,9,7,88828,0
1380,48,7,99,32,7,112367,1
1381,59,7,69,35,10,84046,1
1382,48,19,74,2,6,34849,1
1383,45,14,79,4,4,84272,0
1384,31,6,67,11,12,45439,0
1385,34,10,91,56,13,107526,1
1386,23,6,60,43,8,103872,0
1387,23,3,78,12,12,60344,0
1388,56,11,66,23,11,113489,1
1389,54,5,75,43,2,78276,1
1390,47,13,72,56,2,30051,1
1391,62,11,97,31,2,74474,1
1392,23,10,69,15,3,100604,0
1393,38,18,94,31,6,41967,1
1394,61,20,51,44,1,46773,0
1395,27,4,73,36,11,99383,0
1396,44,13,80,55,2,95417,1
1397,51,20,76,35,10,66182,1
1398,25,15,51,20,15,88589,1
1399,34,12,63,46,2,98235,0
1400,48,19,53,11,14,49180,1
1401,38,3,98,50,12,89372,1
1402,59,10,62,20,1,76372,0
1403,44,16,85,59,3,94086,1
1404,51,6,84,50,10,47163,1
1405,36,13,93,20,7,88089,0
1406,50,10,57,42,15,57934,1
1407,27,8,51,52,13,80595,1
1408,52,12,55,5,1,51592,0
1409,27,17,80,8,7,48039,1
1410,34,10,59,0,5,89099,0
1411,38,14,93,11,9,114262,1
1412,48,18,70,57,2,59018,1
1413,48,0,91,13,1,78158,0
1414,43,3,59,5,9,29558,0
1415,61,13,72,0,8,57174,1
1416,58,13,52,21,10,67631,1
1417,55,2,81,33,6,92687,0
1418,52,16,69,55,15,40552,1
1419,59,2,59,10,5,60065,0
1420,45,15,78,2,8,27614,1
1421,32,13,90,41,8,59647,1
1422,27,19,100,5,14,82940,1
1423,58,12,95,5,5,25620,0
1424,56,14,83,19,12,48082,1
1425,53,13,86,20,7,46891,1
1426,32,18,69,1,13,87395,1
1427,41,5,57,25,13,75955,0
1428,54,9,56,30,1,57314,0
1429,23,14,55,25,4,48500,0
1430,27,20,60,55,2,78685,1
1431,26,19,93,31,10,89783,1
1432,38,5,67,9,3,75189,0
1433,46,9,100,22,12,118554,1
1434,38,6,91,57,1,44567,0
1435,24,16,78,5,11,50978,1
1436,50,17,74,22,11,101089,1
1437,54,16,70,27,2,34630,1
1438,49,8,95,48,13,37003,1
1439,42,9,52,29,1,66444,0
1440,46,9,67,13,8,111184,1
1441,34,6,73,36,4,56607,1
1442,57,15,96,54,3,49821,1
1443,55,17,87,31,1,39601,1
1444,55,5,59,48,2,70904,0
1445,59,19,76,33,3,96657,1
1446,34,0,61,40,3,63557,0
1447,25,0,56,43,6,77523,0
1448,23,11,66,50,10,106846,1
1449,55,20,50,21,8,75502,0
1450,62,1,99,30,6,47098,1
1451,32,3,75,6,2,70902,0
1452,51,16,64,40,2,114067,0
1453,35,3,100,20,14,64253,1
1454,34,10,82,15,7,100516,1
1455,53,3,86,19,1,69280,0
1456,24,0,96,42,1,33951,0
1457,57,6,80,43,7,33117,1
1458,45,17,84,46,9,50979,1
1459,39,8,50,49,5,99525,0
1460,48,2,57,18,11,41915,0
1461,30,7,61,47,1,84261,0
1462,51,18,68,31,5,97964,1
1463,48,3,74,14,11,115417,1
1464,32,17,81,4,1,95440,0
1465,48,19,61,10,10,60677,1
1466,56,10,62,14,15,74830,1
1467,63,13,77,28,12,77536,1
1468,29,17,50,49,9,33922,1
1469,26,15,100,44,4,92561,1
1470,33,2,55,3,9,38220,0
1471,51,14,57,48,2,70958,1
1472,58,3,53,35,7,78380,0
1473,47,4,54,47,15,27766,1
1474,43,16,74,22,12,109018,1
1475,58,6,71,14,13,58159,1
1476,32,15,77,45,2,35935,1
1477,59,13,88,43,12,28784,1
1478,31,15,72,2,4,113586,0
1479,46,6,53,31,6,45221,0
1480,57,8,53,9,14,54179,0
1481,57,3,96,39,2,43069,0
1482,58,10,70,37,2,60682,1
1483,40,1,86,21,2,81268,0
1484,61,11,90,13,3,116530,0
1485,54,11,51,16,5,119303,0
1486,46,3,56,20,9,102818,0
1487,45,17,98,50,6,45110,1
1488,54,20,65,47,15,56232,1
1489,59,6,66,14,15,69273,1
1490,34,0,69,57,12,95487,1
1491,35,12,72,14,14,80210,1
1492,45,5,83,0,9,98191,1
1493,47,5,60,23,10,54461,0
1494,57,11,83,54,15,29610,1
1495,63,7,82,54,14,81973,1
1496,52,18,75,11,13,108004,1
1497,39,4,51,9,5,32583,0
1498,42,17,72,45,11,50583,1
1499,47,4,90,41,6,42701,1
1500,44,9,71,41,10,31880,1
1501,35,0,83,51,12,114257,1
1502,41,9,64,60,8,76845,1
1503,58,4,59,30,3,117390,0
1504,34,11,64,10,2,97417,0
1505,63,6,91,53,3,28722,1
1506,41,8,78,15,14,45077,1
1507,34,20,72,60,9,105868,1
1508,31,11,66,8,15,38229,0
1509,29,0,58,46,6,98338,0
1510,50,10,99,13,10,86679,1
1511,36,20,85,18,12,112637,1
1512,53,14,58,30,4,36439,0
1513,41,1,65,8,10,60902,0
1514,38,19,85,35,3,27598,1
1515,27,6,97,52,13,117297,1
1516,57,20,100,38,2,29052,1
1517,34,11,82,53,15,37741,1
1518,47,17,80,25,14,94360,1
1519,43,2,55,7,4,61288,0
1520,58,6,59,23,9,26249,1
1521,45,10,65,7,4,47970,0
1522,38,17,53,18,13,40565,0
1523,61,11,71,46,12,81995,1
1524,61,5,62,47,5,108994,0
1525,36,4,65,29,15,76656,0
1526,53,0,78,57,8,87134,0
1527,27,11,55,21,2,70765,0
1528,57,10,75,54,12,27014,1
1529,45,3,60,8,11,95480,0
1530,51,17,73,57,14,39012,1
1531,33,3,78,57,3,82498,0
1532,40,16,52,43,6,93776,1
1533,34,1,59,47,12,86711,0
1534,31,1,50,3,7,67530,0
1535,32,11,92,36,4,104267,1
1536,39,5,75,7,14,43018,0
1537,60,9,61,0,15,42916,1
1538,29,20,63,27,1,65376,0
1539,35,15,74,5,7,118140,0
1540,62,13,57,46,12,90046,1
1541,31,6,92,35,9,83742,0
1542,49,18,53,52,1,110566,1
1543,24,16,77,10,14,102125,1
1544,27,8,56,4,1,112519,0
1545,51,12,59,49,1,37437,0
1546,59,4,100,23,10,87146,1
1547,60,4,85,46,7,52618,0
1548,41,9,51,17,11,75767,0
1549,30,20,75,19,9,34705,1
1550,23,9,99,27,3,82146,1
1551,44,6,63,12,8,113216,0
1552,39,14,65,4,9,105912,1
1553,29,6,92,29,3,76750,0
1554,47,14,91,0,12,115956,1
1555,26,2,66,21,12,69379,0
1556,58,18,95,17,3,77682,1
1557,28,9,71,45,15,89713,1
1558,53,14,53,4,1,81919,0
1559,41,2,68,30,2,85384,0
1560,61,5,51,5,7,76128,0
1561,49,11,88,26,3,26835,0
1562,32,14,58,55,7,46283,1
1563,48,5,68,24,5,74506,0
1564,41,12,65,28,10,78625,1
1565,61,18,74,27,8,60963,1
1566,25,2,97,15,5,34179,0
1567,35,7,67,53,3,119440,0
1568,50,7,72,52,9,36955,1
1569,42,19,70,11,15,32198,1
1570,50,14,60,19,7,92156,1
1571,30,3,88,17,5,69588,0
1572,63,18,90,33,7,36766,1
1573,61,20,53,54,11,78570,1
1574,23,2,74,52,10,94874,1
1575,25,12,81,22,9,73679,1
1576,35,7,79,44,5,30301,1
1577,50,15,94,26,7,40144,1
1578,47,12,75,48,11,38784,1
1579,55,2,85,16,9,92959,0
1580,60,15,100,47,1,33272,1
1581,28,8,83,20,4,26573,0
1582,54,13,58,49,1,49419,0
1583,43,12,61,39,8,107339,1
1584,38,20,51,30,3,73555,0
1585,43,6,87,2,2,30176,0
1586,33,14,54,16,14,61161,1
1587,59,6,54,60,4,88440,0
1588,58,5,71,49,11,83862,1
1589,57,1,54,57,3,40164,0
1590,41,8,53,25,11,102758,1
1591,42,16,58,22,5,50379,0
1592,40,4,78,5,15,116189,1
1593,63,11,71,27,13,108552,1
1594,36,0,76,7,8,43368,0
1595,37,9,59,54,10,114041,0
1596,53,10,65,57,8,57771,0
1597,23,15,91,44,11,89950,1
1598,25,13,91,7,7,65245,1
1599,38,7,100,18,8,97792,1
1600,45,16,59,37,13,68327,1
1601,33,17,55,28,13,71454,0
1602,34,11,98,22,5,118787,1
1603,32,16,54,46,10,71741,1
1604,54,13,55,31,10,56977,1
1605,38,15,96,9,11,31714,1
1606,30,13,74,26,12,102237,1
1607,60,8,100,48,11,39891,1
1608,34,3,99,0,13,77299,0
1609,46,10,53,38,6,90167,0
1610,50,5,89,28,8,90124,0
1611,30,14,97,58,15,118052,1
1612,50,4,81,44,13,83639,1
1613,58,10,100,2,1,65912,0
1614,48,17,84,50,6,100452,1
1615,30,12,59,46,6,93446,1
1616,50,10,83,36,15,108790,1
1617,50,13,85,30,11,86516,1
1618,59,17,55,10,13,69250,1
1619,63,18,92,21,5,61116,1
1620,58,14,95,17,4,108521,1
1621,49,8,65,34,1,47151,0
1622,39,7,68,5,11,96366,0
1623,31,19,83,2,10,69297,1
1624,55,0,74,4,11,65888,0
1625,42,3,80,8,8,81195,0
1626,35,13,98,27,6,109010,1
1627,50,1,90,18,3,96016,0
1628,51,15,66,27,12,99979,1
1629,35,2,96,26,3,79334,0
1630,57,7,79,12,12,93345,0
1631,28,5,88,60,6,64761,1
1632,40,15,80,37,12,51930,1
1633,27,15,68,42,15,84117,1
1634,47,6,84,52,7,48095,0
1635,24,12,78,20,8,102482,1
1636,32,12,50,26,5,28991,0
1637,52,4,53,45,10,48519,0
1638,27,19,77,5,6,51657,1
1639,55,17,67,37,12,25826,1
1640,23,14,75,48,1,67625,1
1641,40,17,89,10,6,107049,1
1642,54,1,68,46,9,42801,1
1643,33,9,55,40,10,54846,0
1644,43,12,50,52,4,64566,1
1645,48,17,57,16,14,48157,1
1646,47,14,82,55,14,53363,1
1647,44,11,100,38,10,75559,1
1648,49,14,92,6,13,30136,1
1649,35,12,70,29,1,82937,0
1650,55,17,73,20,14,42421,1
1651,56,14,74,0,11,103027,1
1652,63,10,96,24,9,32546,1
1653,57,18,92,31,4,96439,1
1654,23,2,68,58,2,71623,0
1655,43,6,78,56,1,41406,0
1656,28,20,59,7,3,105485,0
1657,50,13,61,4,7,34825,0
1658,39,13,82,29,11,96823,1
1659,27,12,56,50,10,59173,1
1660,53,11,66,7,2,80619,0
1661,27,8,59,48,15,108114,1
1662,60,0,80,18,9,32923,0
1663,25,18,55,43,12,59374,1
1664,45,10,66,58,13,86713,1
1665,59,18,99,54,11,66411,1
1666,59,17,86,29,2,89368,1
1667,32,11,67,14,5,33316,0
1668,32,0,75,35,8,35556,1
1669,41,18,98,54,13,35058,1
1670,39,19,65,43,13,50482,1
1671,43,16,57,26,12,69494,1
1672,36,4,73,12,10,50005,0
1673,31,2,62,13,8,109671,0
1674,23,1,78,36,3,114424,0
1675,35,2,81,53,2,57481,0
1676,26,7,73,47,9,53401,1
1677,23,15,65,29,3,65431,1
1678,62,5,60,38,8,89459,0
1679,54,12,81,46,2,115473,1
1680,56,15,55,12,3,103682,0
1681,50,15,84,57,1,101789,1
1682,53,2,82,15,14,73504,1
1683,30,12,67,43,11,28223,1
1684,61,13,86,6,6,95977,0
1685,48,7,62,47,13,65149,1
1686,56,11,59,54,7,37863,0
1687,25,20,86,54,4,54564,1
1688,34,7,75,26,1,107189,0
1689,23,20,95,44,3,114624,1
1690,27,8,66,60,9,47499,1
1691,52,0,50,54,5,114218,0
1692,52,5,74,34,6,57132,0
1693,39,18,83,14,4,29533,1
1694,45,10,88,27,1,107962,0
1695,37,10,59,34,14,105096,1
1696,59,12,69,6,5,59409,0
1697,43,10,56,49,5,106461,1
1698,36,17,65,45,5,47987,1
1699,24,14,86,49,15,35633,1
1700,33,0,78,50,6,81207,1
1701,61,20,61,45,11,75535,1
1702,60,6,66,19,2,28996,0
1703,56,12,97,31,1,25014,0
1704,60,11,69,37,15,105431,1
1705,56,17,75,60,2,26674,1
1706,40,18,97,39,13,62867,1
1707,52,14,68,31,10,110537,1
1708,37,7,96,25,6,82251,1
1709,49,18,61,57,5,80709,1
1710,56,9,70,38,15,42864,1
1711,60,6,91,19,5,51321,0
1712,55,17,83,17,12,49082,1
1713,46,15,56,49,12,65131,1
1714,37,19,94,14,15,96493,1
1715,52,5,84,51,6,29210,1
1716,39,8,64,21,14,89586,0
1717,27,20,50,50,10,108605,1
1718,51,12,75,21,7,59851,0
1719,26,20,84,52,9,51865,1
1720,32,7,74,20,7,108606,1
1721,39,15,91,1,2,29158,0
1722,32,12,64,39,6,82852,1
1723,39,12,71,52,9,74339,0
1724,42,16,55,42,7,45572,0
1725,46,19,64,17,2,29100,1
1726,27,4,73,22,3,69469,0
1727,56,20,70,12,8,106061,1
1728,28,16,56,40,11,85861,1
1729,24,8,78,8,9,43456,0
1730,35,1,81,48,4,80803,0
1731,33,17,81,6,9,90633,1
1732,45,8,54,40,2,100019,0
1733,38,5,53,53,13,61232,1
1734,53,10,71,0,11,92323,0
1735,33,5,67,1,5,46788,0
1736,38,5,84,3,11,41092,0
1737,30,12,66,13,2,26132,0
1738,26,10,99,31,11,102850,1
1739,62,13,99,35,1,113118,1
1740,26,1,73,1,13,118316,0
1741,47,7,51,39,14,38068,1
1742,25,2,62,49,5,72401,0
1743,54,20,64,50,2,73526,1
1744,25,2,54,13,14,83958,0
1745,49,0,52,19,13,101593,0
1746,51,18,86,24,7,80041,1
1747,54,17,86,41,8,88372,1
1748,41,16,86,48,2,92562,1
1749,43,19,52,7,7,117099,0
1750,27,12,84,27,4,89046,1
1751,40,2,72,45,1,93086,0
1752,50,0,77,20,11,32089,0
1753,44,3,79,22,15,41623,1
1754,43,12,67,31,3,74641,0
1755,28,16,85,7,11,37043,1
1756,23,10,82,30,12,91572,1
1757,27,1,75,36,1,89136,0
1758,63,15,97,15,5,113052,0
1759,34,1,89,39,15,111700,1
1760,48,18,66,41,13,82061,1
1761,56,18,89,26,8,31122,1
1762,36,15,56,39,1,72346,0
1763,48,18,57,40,14,41150,1
1764,49,8,80,17,9,112630,0
1765,31,0,61,34,3,102228,0
1766,48,9,97,48,5,37054,1
1767,44,18,80,51,9,26767,1
1768,52,0,93,14,5,29708,0
1769,39,1,68,52,9,82999,1
1770,48,15,59,26,10,77158,1
1771,58,11,88,16,8,54292,1
1772,23,7,61,39,7,53082,0
